Date,roofs_top_kW,walls_east_kW,walls_north_kW,walls_south_kW,walls_west_kW,windows_east_kW,windows_north_kW,windows_south_kW,windows_west_kW,roofs_top_m2,walls_east_m2,walls_north_m2,walls_south_m2,walls_west_m2,windows_east_m2,windows_north_m2,windows_south_m2,windows_west_m2
2020-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 09:00:00,5.04,1.29,1.21,2.21,1.29,0.34,0.34,0.6,0.34,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 10:00:00,58.23,47.25,6.3,119.3,7.9,12.66,1.76,33.52,2.11,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 11:00:00,111.87,54.87,10.19,265.06,13.72,14.52,2.87,73.05,3.67,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 12:00:00,117.99,32.54,12.71,282.07,20.69,8.58,3.58,75.54,5.58,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 13:00:00,126.57,22.17,14.73,287.77,37.0,5.94,4.13,77.05,9.75,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 14:00:00,95.53,15.56,10.73,245.36,47.88,4.19,3.0,67.54,12.7,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 15:00:00,49.43,9.91,8.38,78.56,30.86,2.65,2.34,24.43,8.84,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 09:00:00,5.04,1.29,1.21,2.21,1.29,0.34,0.34,0.6,0.34,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 10:00:00,93.33,86.95,7.39,225.07,9.63,23.29,2.06,63.44,2.57,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 11:00:00,150.18,77.16,10.79,396.02,14.59,20.38,3.05,109.2,3.9,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 12:00:00,171.1,44.16,12.58,490.04,22.9,11.54,3.56,130.83,6.2,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 13:00:00,157.0,20.66,12.57,461.45,45.36,5.54,3.54,123.23,11.86,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 14:00:00,111.09,16.34,10.97,313.38,58.05,4.4,3.07,86.29,15.4,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 15:00:00,52.3,8.6,7.01,111.29,41.2,2.3,1.95,35.48,12.02,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 09:00:00,1.68,0.43,0.4,0.73,0.43,0.11,0.11,0.2,0.11,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 10:00:00,10.92,2.81,2.61,4.77,2.8,0.75,0.73,1.29,0.75,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 11:00:00,21.85,5.67,5.18,9.68,5.61,1.51,1.45,2.62,1.49,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 12:00:00,26.89,6.98,6.32,12.05,6.92,1.86,1.77,3.26,1.85,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 13:00:00,28.25,8.1,5.91,37.72,9.81,2.17,1.66,10.24,2.62,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 14:00:00,26.05,6.65,6.0,12.29,6.9,1.77,1.68,3.33,1.84,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 15:00:00,15.96,3.98,3.61,7.99,4.46,1.06,1.01,2.17,1.19,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 09:00:00,3.36,0.86,0.81,1.47,0.86,0.23,0.23,0.4,0.23,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 10:00:00,21.01,5.49,4.97,9.4,5.35,1.46,1.39,2.55,1.43,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 11:00:00,52.31,14.55,11.42,30.46,12.76,3.87,3.19,8.28,3.4,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 12:00:00,37.83,9.85,8.6,20.09,9.6,2.62,2.4,5.43,2.56,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 13:00:00,21.01,5.43,4.96,9.34,5.44,1.45,1.39,2.53,1.45,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 14:00:00,41.28,10.76,8.64,61.38,18.44,2.88,2.42,16.82,4.94,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 15:00:00,26.02,6.3,5.63,15.05,7.93,1.68,1.57,4.09,2.12,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-04 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 09:00:00,5.88,1.51,1.41,2.58,1.5,0.4,0.39,0.7,0.4,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 10:00:00,83.54,73.55,7.78,187.37,9.85,19.69,2.17,52.75,2.63,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 11:00:00,125.82,61.07,11.75,288.17,15.75,16.17,3.31,79.42,4.21,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 12:00:00,149.62,39.89,13.51,380.69,23.24,10.48,3.81,101.8,6.27,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 13:00:00,124.56,20.82,13.56,298.1,36.4,5.58,3.81,79.78,9.59,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 14:00:00,88.56,17.03,12.54,175.38,39.94,4.57,3.51,48.14,10.64,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 15:00:00,51.13,10.39,8.67,60.25,25.26,2.77,2.42,17.64,6.99,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
2020-01-05 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.84,541.49,786.27,782.69,497.6,143.94,209.01,208.06,132.27
