Name,type_win,G_win,type_roof,r_roof,type_wall,r_wall
B1000,WINDOW_AS2,0.75,ROOF_AS1,0.4,WALL_AS5,0.15
B1001,WINDOW_AS2,0.75,ROOF_AS1,0.4,WALL_AS5,0.15
B1002,WINDOW_AS2,0.75,ROOF_AS1,0.4,WALL_AS5,0.15
