BUILDING,SURFACE,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE
B1002,srf0,west,0,384813.71048548346,5821283.256584771,2.5,-0.9802957155038948,0.19753559214659763,-0.0,4.567620879902213,walls
B1002,srf1,west,0,384813.710485483,5821283.256584771,2.906306822878312,-0.9802957155038948,0.19753559214659763,-0.0,2.0931468428012567,walls
B1002,srf2,west,0,384814.82081349683,5821288.76672997,1.406306822878312,-0.9802957155038948,0.19753559214659763,-0.0,2.093146843396119,walls
B1002,srf3,west,0,384814.52005759877,5821287.274190244,1.4063068228783209,-0.9802957155038948,0.19753559214659763,-0.0,4.567620880497042,walls
B1002,srf4,west,0,384815.3296297139,5821291.291795718,2.9063068228783067,-0.9802957155038948,0.19753559214659763,-0.0,2.0931468427854494,walls
B1002,srf5,west,0,384815.3296297139,5821291.291795718,2.5,-0.9802957155038948,0.19753559214659763,-0.0,4.567620879902189,walls
B1002,srf6,west,0,384814.52005759865,5821287.274190244,3.593693177121688,-0.9802957155038948,0.19753559214659763,-0.0,4.567620880497052,walls
B1002,srf7,west,0,384814.82081349695,5821288.76672997,3.593693177121679,-0.9802957155038948,0.19753559214659763,-0.0,2.0931468433961316,walls
B1002,srf8,west,0,384780.35644965613,5821278.241656787,2.5,-0.9710853580041021,0.23873254380173,-0.0,2.069297458457019,walls
B1002,srf9,west,0,384780.35644965613,5821278.241656787,2.0936931771216933,-0.9710853580041021,0.23873254380173,-0.0,0.948271223875909,walls
B1002,srf10,west,0,384780.964375266,5821280.714497939,1.406306822878312,-0.9710853580041021,0.23873254380173,-0.0,0.94827122453328,walls
B1002,srf11,west,0,384780.7997057174,5821280.044676451,1.4063068228783209,-0.9710853580041021,0.23873254380173,-0.0,2.0692974591087534,walls
B1002,srf12,west,0,384781.2429617788,5821281.847696115,2.093693177121688,-0.9710853580041021,0.23873254380173,-0.0,0.9482712238663521,walls
B1002,srf13,west,0,384781.2429617788,5821281.847696115,2.5,-0.9710853580041021,0.23873254380173,-0.0,2.0692974584361776,walls
B1002,srf14,west,0,384780.7997057176,5821280.044676451,3.593693177121688,-0.9710853580041021,0.23873254380173,-0.0,2.069297459108753,walls
B1002,srf15,west,0,384780.964375266,5821280.714497939,3.5936931771216933,-0.9710853580041021,0.23873254380173,-0.0,0.9482712245332712,walls
B1002,srf16,west,0,384770.4537066054,5821287.798747693,2.5,-0.9896751367677072,0.14332872588500883,-0.0,7.580922870668765,walls
B1002,srf17,west,0,384770.45370660536,5821287.798747693,2.906306822878312,-0.9896751367677072,0.14332872588500883,-0.0,3.4740152892461467,walls
