blknr,bez,bezname,plr,blktypname,ewk,area,datum,verbrauch_,verbrauc_1,verbrauc_2,blknr_2,bez_2,bezname_2,plr_2,blktypna_1,ewk_2,area_2,datum_2
"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,135480.859375000000000,1999/07/12 00:00:00.000,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,135480.859375000000000,1999/07/12 00:00:00.000
"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,177086.625000000000000,1998/10/08 00:00:00.000,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,177086.625000000000000,1998/10/08 00:00:00.000
"019692","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,96460.437500000000000,2007/05/21 00:00:00.000,2896.681000000000040,3684.376000000000204,2229.791999999999916,"019692","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,96460.437500000000000,2007/05/21 00:00:00.000
"019708","04",Charlottenburg-Wilmersdorf,"04300518",Block,10-99 Einwohner,16879.630859375000000,2006/03/10 00:00:00.000,,,,"019708","04",Charlottenburg-Wilmersdorf,"04300518",Block,10-99 Einwohner,16879.630859375000000,2006/03/10 00:00:00.000
"019742","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,183565.937500000000000,2005/02/18 00:00:00.000,,,,"019742","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,183565.937500000000000,2005/02/18 00:00:00.000
"019759","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,8620.879882812500000,1994/11/24 00:00:00.000,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
"019760","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,1435.945556640625000,1994/11/24 00:00:00.000,,,,"019760","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,1435.945556640625000,1994/11/24 00:00:00.000
"019901","04",Charlottenburg-Wilmersdorf,"04300518",Bahnblock,unbewohnt,25851.810546875000000,1994/11/24 00:00:00.000,2896.681000000000040,3684.376000000000204,2229.791999999999916,"019692","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,96460.437500000000000,2007/05/21 00:00:00.000
"020020","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,4897.128906250000000,1994/11/24 00:00:00.000,,,,"019708","04",Charlottenburg-Wilmersdorf,"04300518",Block,10-99 Einwohner,16879.630859375000000,2006/03/10 00:00:00.000
"020021","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,5655.184570312500000,1994/11/24 00:00:00.000,,,,"019708","04",Charlottenburg-Wilmersdorf,"04300518",Block,10-99 Einwohner,16879.630859375000000,2006/03/10 00:00:00.000
"020022","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,4956.509277343750000,1994/11/24 00:00:00.000,,,,"020022","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,4956.509277343750000,1994/11/24 00:00:00.000
"020023","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,6848.019531250000000,1994/11/24 00:00:00.000,,,851.346000000000004,"020023","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,6848.019531250000000,1994/11/24 00:00:00.000
"020027","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,14053.184570312500000,1993/06/30 00:00:00.000,2035.490000000000009,2359.610000000000127,2184.202000000000226,"020027","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,14053.184570312500000,1993/06/30 00:00:00.000
"020028","04",Charlottenburg-Wilmersdorf,"04300517",Block,10-99 Einwohner,3348.633789062500000,1994/10/19 00:00:00.000,,,,"020028","04",Charlottenburg-Wilmersdorf,"04300517",Block,10-99 Einwohner,3348.633789062500000,1994/10/19 00:00:00.000
"020029","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,6372.918457031250000,1993/06/30 00:00:00.000,,,,"020029","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,6372.918457031250000,1993/06/30 00:00:00.000
"020030","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,6492.959960937500000,2003/06/18 00:00:00.000,1484.433999999999969,1732.497000000000071,1530.479000000000042,"020030","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,6492.959960937500000,2003/06/18 00:00:00.000
"020035","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,18004.087890625000000,1993/06/30 00:00:00.000,3112.876999999999953,3574.623000000000047,3032.746000000000095,"020035","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,18004.087890625000000,1993/06/30 00:00:00.000
"020036","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,14272.669921875000000,1993/06/30 00:00:00.000,2734.876999999999953,3237.702999999999975,2957.264999999999873,"020036","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,14272.669921875000000,1993/06/30 00:00:00.000
"020037","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,11607.428710937500000,1993/06/30 00:00:00.000,1936.726000000000113,2248.534999999999854,2046.096999999999980,"020037","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,11607.428710937500000,1993/06/30 00:00:00.000
"020038","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,10734.874023437500000,1993/06/30 00:00:00.000,1319.647999999999911,1476.613000000000056,1394.182000000000016,"020038","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,10734.874023437500000,1993/06/30 00:00:00.000
"020039","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,13377.912109375000000,1993/06/30 00:00:00.000,389.331000000000017,475.812999999999988,405.290999999999997,"020039","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,13377.912109375000000,1993/06/30 00:00:00.000
"020040","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,8999.685546875000000,1993/11/10 00:00:00.000,,,,"020040","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,8999.685546875000000,1993/11/10 00:00:00.000
