Name,Af_m2,Aroof_m2,GFA_m2,Aocc_m2,people0,PV_MWhyr,GRID_MWhyr,GRID_a_MWhyr,GRID_l_MWhyr,GRID_v_MWhyr,GRID_ve_MWhyr,GRID_data_MWhyr,GRID_pro_MWhyr,GRID_aux_MWhyr,GRID_ww_MWhyr,GRID_hs_MWhyr,GRID_cs_MWhyr,GRID_cdata_MWhyr,GRID_cre_MWhyr,E_sys_MWhyr,Eal_MWhyr,Ea_MWhyr,El_MWhyr,Ev_MWhyr,Eve_MWhyr,Edata_MWhyr,Epro_MWhyr,Eaux_MWhyr,E_ww_MWhyr,E_hs_MWhyr,E_cs_MWhyr,E_cre_MWhyr,E_cdata_MWhyr,Qhs_sen_shu_MWhyr,Qhs_sen_ahu_MWhyr,Qhs_lat_ahu_MWhyr,Qhs_sen_aru_MWhyr,Qhs_lat_aru_MWhyr,Qhs_sen_sys_MWhyr,Qhs_lat_sys_MWhyr,Qhs_em_ls_MWhyr,Qhs_dis_ls_MWhyr,Qhs_sys_shu_MWhyr,Qhs_sys_ahu_MWhyr,Qhs_sys_aru_MWhyr,Qcs_sys_scu_MWhyr,Qcs_sys_ahu_MWhyr,Qcs_sys_aru_MWhyr,DH_hs_MWhyr,Qhs_sys_MWhyr,Qhs_MWhyr,DH_ww_MWhyr,Qww_sys_MWhyr,Qww_MWhyr,DC_cs_MWhyr,Qcs_sys_MWhyr,Qcs_MWhyr,DC_cre_MWhyr,Qcre_sys_MWhyr,Qcre_MWhyr,DC_cdata_MWhyr,Qcdata_sys_MWhyr,Qcdata_MWhyr,NG_hs_MWhyr,COAL_hs_MWhyr,OIL_hs_MWhyr,WOOD_hs_MWhyr,SOLAR_hs_MWhyr,NG_ww_MWhyr,COAL_ww_MWhyr,OIL_ww_MWhyr,WOOD_ww_MWhyr,SOLAR_ww_MWhyr,Qcs_sen_scu_MWhyr,Qcs_sen_ahu_MWhyr,Qcs_lat_ahu_MWhyr,Qcs_sen_aru_MWhyr,Qcs_lat_aru_MWhyr,Qcs_sen_sys_MWhyr,Qcs_lat_sys_MWhyr,Qcs_em_ls_MWhyr,Qcs_dis_ls_MWhyr,Qhpro_sys_MWhyr,Qcpro_sys_MWhyr,QH_sys_MWhyr,QC_sys_MWhyr,PV0_kW,GRID0_kW,GRID_a0_kW,GRID_l0_kW,GRID_v0_kW,GRID_ve0_kW,GRID_data0_kW,GRID_pro0_kW,GRID_aux0_kW,GRID_ww0_kW,GRID_hs0_kW,GRID_cs0_kW,GRID_cdata0_kW,GRID_cre0_kW,E_sys0_kW,Eal0_kW,Ea0_kW,El0_kW,Ev0_kW,Eve0_kW,Edata0_kW,Epro0_kW,Eaux0_kW,E_ww0_kW,E_hs0_kW,E_cs0_kW,E_cre0_kW,E_cdata0_kW,Qhs_sen_shu0_kW,Qhs_sen_ahu0_kW,Qhs_lat_ahu0_kW,Qhs_sen_aru0_kW,Qhs_lat_aru0_kW,Qhs_sen_sys0_kW,Qhs_lat_sys0_kW,Qhs_em_ls0_kW,Qhs_dis_ls0_kW,Qhs_sys_shu0_kW,Qhs_sys_ahu0_kW,Qhs_sys_aru0_kW,Qcs_sys_scu0_kW,Qcs_sys_ahu0_kW,Qcs_sys_aru0_kW,DH_hs0_kW,Qhs_sys0_kW,Qhs0_kW,DH_ww0_kW,Qww_sys0_kW,Qww0_kW,DC_cs0_kW,Qcs_sys0_kW,Qcs0_kW,DC_cre0_kW,Qcre_sys0_kW,Qcre0_kW,DC_cdata0_kW,Qcdata_sys0_kW,Qcdata0_kW,NG_hs0_kW,COAL_hs0_kW,OIL_hs0_kW,WOOD_hs0_kW,SOLAR_hs0_kW,NG_ww0_kW,COAL_ww0_kW,OIL_ww0_kW,WOOD_ww0_kW,SOLAR_ww0_kW,Qcs_sen_scu0_kW,Qcs_sen_ahu0_kW,Qcs_lat_ahu0_kW,Qcs_sen_aru0_kW,Qcs_lat_aru0_kW,Qcs_sen_sys0_kW,Qcs_lat_sys0_kW,Qcs_em_ls0_kW,Qcs_dis_ls0_kW,Qhpro_sys0_kW,Qcpro_sys0_kW,QH_sys0_kW,QC_sys0_kW
B1000,3261.880,784.290,4773.484,3914.257,104.000,0.000,82.403,61.263,20.676,0.000,0.000,0.000,0.000,0.464,0.000,0.000,0.000,0.000,0.000,82.403,81.939,61.263,20.676,0.000,0.000,0.000,0.000,0.464,0.000,0.000,0.000,0.000,0.000,150.675,0.000,0.000,0.000,0.000,150.675,0.000,24.616,2.507,177.798,0.000,0.000,0.000,0.000,0.000,0.000,177.798,150.675,0.000,85.289,76.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,222.247,0.000,0.000,0.000,0.000,106.612,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.087,0.000,0.000,34.475,25.678,8.666,0.000,0.000,0.000,0.000,0.134,0.000,0.000,0.000,0.000,0.000,34.475,34.344,25.678,8.666,0.000,0.000,0.000,0.000,0.134,0.000,0.000,0.000,0.000,0.000,97.916,0.000,0.000,0.000,0.000,97.916,0.000,50.107,1.687,109.132,0.000,0.000,0.000,0.000,0.000,0.000,109.132,97.916,0.000,22.884,20.595,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,136.415,0.000,0.000,0.000,0.000,28.605,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,125.380,0.000
B1001,2294.238,532.160,3357.421,2753.085,73.000,0.000,57.967,43.089,14.543,0.000,0.000,0.000,0.000,0.335,0.000,0.000,0.000,0.000,0.000,57.967,57.632,43.089,14.543,0.000,0.000,0.000,0.000,0.335,0.000,0.000,0.000,0.000,0.000,109.603,0.000,0.000,0.000,0.000,109.603,0.000,17.894,2.201,129.699,0.000,0.000,0.000,0.000,0.000,0.000,129.699,109.603,0.000,61.925,53.515,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,162.124,0.000,0.000,0.000,0.000,77.407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,191.624,0.000,0.000,24.251,18.060,6.095,0.000,0.000,0.000,0.000,0.097,0.000,0.000,0.000,0.000,0.000,24.251,24.156,18.060,6.095,0.000,0.000,0.000,0.000,0.097,0.000,0.000,0.000,0.000,0.000,71.004,0.000,0.000,0.000,0.000,71.004,0.000,35.874,1.476,79.390,0.000,0.000,0.000,0.000,0.000,0.000,79.390,71.004,0.000,16.570,14.417,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.238,0.000,0.000,0.000,0.000,20.713,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,91.259,0.000
B1002,4193.697,852.840,5966.642,4892.647,130.000,0.000,102.958,76.576,25.844,0.000,0.000,0.000,0.000,0.538,0.000,0.000,0.000,0.000,0.000,102.958,102.420,76.576,25.844,0.000,0.000,0.000,0.000,0.538,0.000,0.000,0.000,0.000,0.000,203.047,0.000,0.000,0.000,0.000,203.047,0.000,33.237,1.846,238.130,0.000,0.000,0.000,0.000,0.000,0.000,238.130,203.047,0.000,102.303,95.856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,297.663,0.000,0.000,0.000,0.000,127.879,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,340.433,0.000,0.000,43.081,32.096,10.832,0.000,0.000,0.000,0.000,0.155,0.000,0.000,0.000,0.000,0.000,43.081,42.928,32.096,10.832,0.000,0.000,0.000,0.000,0.155,0.000,0.000,0.000,0.000,0.000,130.994,0.000,0.000,0.000,0.000,130.994,0.000,68.183,1.233,144.975,0.000,0.000,0.000,0.000,0.000,0.000,144.975,130.994,0.000,27.384,25.823,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,181.219,0.000,0.000,0.000,0.000,34.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,164.409,0.000
